node_id,node_x,node_y,from_segment_id,to_segment_id,from_original_edge_id,to_original_edge_id,from_fclass,to_fclass,from_name,to_name,from_ref,to_ref,from_bridge,to_bridge,from_tunnel,to_tunnel,from_layer,to_layer,turn_angle_deg,same_nonempty_name_or_ref,review_decision,formal_graph_repaired
52081,677136.553,3548121.843,272579916_000002,704453024_000050,272579916,704453024,service,path,37 拥翠亭到五棵松,,,,False,False,False,False,5.0,0.0,120.32663415284023,False,suspicious_grade_jump,False
52093,677029.766,3548209.486,272579916_000014,1368374436_000013,272579916,1368374436,service,footway,37 拥翠亭到五棵松,,,,False,False,False,False,5.0,0.0,125.6514955315544,False,suspicious_grade_jump,False
52135,676552.183,3549003.768,272579916_000055,704448442_000001,272579916,704448442,service,track,37 拥翠亭到五棵松,43至陵东路野道,,,False,False,False,False,5.0,0.0,91.7545188711167,False,suspicious_grade_jump,False
52135,676552.183,3549003.768,272579916_000056,704448442_000001,272579916,704448442,service,track,37 拥翠亭到五棵松,43至陵东路野道,,,False,False,False,False,5.0,0.0,48.05144750201166,False,suspicious_grade_jump,False
52676,664519.449,3544518.597,275902611_000014,779278362_000010,275902611,779278362,secondary,cycleway,湖西街,,,,False,False,False,False,0.0,1.0,89.87036061323126,False,suspicious_grade_jump,False
53359,668160.524,3550687.752,280725992_000001,1317130219_000004,280725992,1317130219,steps,footway,玄武湖出入口,环湖路,,,False,False,True,False,-1.0,0.0,83.85373171833902,False,suspicious_grade_jump,False
53359,668160.524,3550687.752,280725992_000001,1317130219_000005,280725992,1317130219,steps,footway,玄武湖出入口,环湖路,,,False,False,True,False,-1.0,0.0,92.18005447363694,False,suspicious_grade_jump,False
53360,668142.129,3550686.117,280725992_000001,368892503_000006,280725992,368892503,steps,service,玄武湖出入口,,,,False,False,True,False,-1.0,0.0,89.81084635982184,False,suspicious_grade_jump,False
53360,668142.129,3550686.117,280725992_000001,368892503_000007,280725992,368892503,steps,service,玄武湖出入口,,,,False,False,True,False,-1.0,0.0,78.42716907800865,False,suspicious_grade_jump,False
53360,668142.129,3550686.117,280725992_000002,368892503_000006,280725992,368892503,steps,service,玄武湖出入口,,,,False,False,True,False,-1.0,0.0,90.21152856261945,False,suspicious_grade_jump,False
53360,668142.129,3550686.117,280725992_000002,368892503_000007,280725992,368892503,steps,service,玄武湖出入口,,,,False,False,True,False,-1.0,0.0,101.55045599955008,False,suspicious_grade_jump,False
53363,669108.542,3548909.947,280725993_000001,289366043_000001,280725993,289366043,footway,footway,,,,,False,False,False,True,0.0,-2.0,64.67881183589985,False,suspicious_grade_jump,False
53363,669108.542,3548909.947,280725993_000002,289366043_000001,280725993,289366043,footway,footway,,,,,False,False,False,True,0.0,-2.0,112.77304855752834,False,suspicious_grade_jump,False
53453,668157.23,3551949.769,280730193_000002,577608903_000014,280730193,577608903,footway,footway,神策门,,,,True,False,False,False,0.0,0.0,76.6533927609998,False,suspicious_grade_jump,False
53453,668157.23,3551949.769,280730193_000002,577608903_000015,280730193,577608903,footway,footway,神策门,,,,True,False,False,False,0.0,0.0,103.31492825749454,False,suspicious_grade_jump,False
53461,668469.809,3551528.094,280730194_000007,289366044_000001,280730194,289366044,pedestrian,footway,,,,,False,True,False,False,0.0,0.0,96.71496266876946,False,suspicious_grade_jump,False
53461,668469.809,3551528.094,280730194_000008,289366044_000001,280730194,289366044,pedestrian,footway,,,,,False,True,False,False,0.0,0.0,77.70779360911303,False,suspicious_grade_jump,False
53476,668369.762,3551884.073,280730194_000022,405950219_000001,280730194,405950219,pedestrian,unclassified,,,,,False,True,False,False,0.0,0.0,82.55036458955983,False,suspicious_grade_jump,False
53481,668153.219,3550745.298,280730197_000001,1317130219_000007,280730197,1317130219,footway,footway,,环湖路,,,True,False,False,False,0.0,0.0,103.85722661089729,False,suspicious_grade_jump,False
53481,668153.219,3550745.298,280730197_000001,1317130219_000008,280730197,1317130219,footway,footway,,环湖路,,,True,False,False,False,0.0,0.0,83.96823603798073,False,suspicious_grade_jump,False
53487,668157.475,3550711.688,280730197_000006,1317130219_000005,280730197,1317130219,footway,footway,,环湖路,,,True,False,False,False,0.0,0.0,80.51386964323284,False,suspicious_grade_jump,False
53487,668157.475,3550711.688,280730197_000006,1317130219_000006,280730197,1317130219,footway,footway,,环湖路,,,True,False,False,False,0.0,0.0,99.50930744263471,False,suspicious_grade_jump,False
54378,668512.436,3551546.876,289366039_000014,289366044_000004,289366039,289366044,pedestrian,footway,,,,,False,True,False,False,0.0,0.0,71.08967369677708,False,suspicious_grade_jump,False
